Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,155.300003,156.500000,153.759995,153.940002,151.987289,28152400
2020-03-03,153.809998,159.699997,152.360001,156.330002,154.346939,38608000
2020-03-04,156.410004,157.350006,154.190002,154.669998,152.707993,23463700
2020-03-05,157.130005,158.820007,156.809998,158.520004,156.509140,17786200
2020-03-06,167.300003,169.330002,164.110001,166.770004,164.654495,76288300
2020-03-09,179.100006,179.699997,170.339996,171.289993,169.117157,41552800
2020-03-10,169.639999,172.929993,162.029999,162.509995,160.448532,37728300
2020-03-11,165.429993,167.029999,155.630005,156.529999,154.544388,29519300
2020-03-12,163.509995,166.360001,155.660004,157.500000,155.502075,24361800
2020-03-13,155.000000,158.199997,152.190002,153.940002,151.987289,19812900
2020-03-16,160.380005,166.149994,157.809998,163.910004,161.830826,30496700
2020-03-17,163.500000,165.630005,152.710007,152.979996,151.039429,18570900
2020-03-18,152.839996,154.139999,139.009995,144.350006,142.518890,47061000
2020-03-19,146.949997,153.449997,145.250000,148.279999,146.399063,21175300
2020-03-20,153.300003,159.429993,152.110001,159.429993,157.407608,20863100
2020-03-23,157.500000,166.690002,156.570007,166.000000,163.894257,19971800
2020-03-24,161.250000,165.449997,160.410004,162.910004,160.843475,11948600
2020-03-25,163.589996,166.679993,161.619995,162.539993,160.478149,10750600
2020-03-26,164.000000,165.679993,162.270004,163.339996,161.268005,10576200
2020-03-27,165.520004,168.250000,164.589996,167.699997,165.572723,12550000
2020-03-30,168.300003,170.110001,165.940002,166.320007,164.210205,13473200
2020-03-31,165.699997,166.919998,164.559998,164.970001,162.877350,11464800
2020-04-01,168.479996,168.960007,166.399994,167.039993,165.159363,11334700
2020-04-02,168.830002,169.220001,167.259995,168.100006,166.207428,5771200
2020-04-03,168.550003,170.330002,168.139999,168.500000,166.602921,6570800
2020-04-06,167.000000,168.270004,166.529999,168.059998,166.167862,9434800
2020-04-07,164.960007,166.419998,163.710007,166.300003,164.427719,13811400
2020-04-08,165.110001,166.190002,164.130005,165.089996,163.231308,10147100
2020-04-09,164.279999,165.789993,163.779999,165.389999,163.527908,14260800
2020-04-13,164.750000,165.710007,163.880005,163.880005,162.034958,8750300
2020-04-14,163.839996,164.740005,163.479996,163.839996,161.995392,9019100
2020-04-15,166.800003,168.600006,166.740005,168.179993,166.286514,10027800
2020-04-16,169.259995,170.320007,169.020004,170.089996,168.175003,8265400
2020-04-17,169.820007,170.839996,167.270004,167.809998,165.920700,8612100
2020-04-20,168.440002,169.289993,167.960007,169.160004,167.255478,6462600
2020-04-21,171.929993,172.149994,170.779999,171.289993,169.361465,7850700
2020-04-22,169.970001,170.389999,168.710007,169.539993,167.631210,6230200
2020-04-23,169.869995,170.929993,169.610001,170.440002,168.521103,5968600
2020-04-24,169.610001,170.839996,169.570007,170.839996,168.916565,6211800
2020-04-27,169.660004,169.750000,167.440002,167.660004,165.772385,9039500
2020-04-28,168.550003,169.850006,168.449997,169.589996,167.680634,9905400
2020-04-29,169.529999,170.259995,167.960007,168.710007,166.810547,8619600
2020-04-30,168.740005,169.229996,166.710007,166.740005,164.862732,11606100
2020-05-01,167.500000,168.110001,166.440002,167.949997,166.274506,10209400
2020-05-04,167.559998,167.679993,166.479996,167.160004,165.492401,8300900
2020-05-05,165.570007,166.270004,165.270004,166.089996,164.433060,7831800
2020-05-06,163.229996,163.639999,162.050003,163.410004,161.779816,14721500
2020-05-07,163.559998,166.369995,163.339996,166.139999,164.482574,9164800
2020-05-08,164.490005,165.399994,163.679993,163.979996,162.344116,8130500
2020-05-11,163.660004,164.220001,162.100006,162.699997,161.076889,8713500
2020-05-12,163.160004,164.929993,163.130005,164.369995,162.730209,10057300
2020-05-13,165.089996,166.289993,164.830002,165.520004,163.868744,13305600
2020-05-14,167.320007,168.149994,167.050003,167.139999,165.472580,10080000
2020-05-15,168.300003,168.490005,166.330002,166.710007,165.046890,7225600
2020-05-18,164.929993,165.059998,162.419998,163.050003,161.423401,10074000
2020-05-19,162.520004,163.699997,162.479996,163.660004,162.027298,8639100
2020-05-20,163.169998,164.699997,162.880005,164.149994,162.512405,10927300
2020-05-21,164.860001,165.360001,164.289993,164.559998,162.918335,8920000
2020-05-22,164.720001,165.679993,164.610001,165.550003,163.898468,4956700
2020-05-26,163.710007,163.789993,162.979996,163.330002,161.700623,8098900
2020-05-27,162.789993,163.910004,162.589996,163.029999,161.403580,8047400
2020-05-28,161.960007,162.570007,161.660004,162.429993,160.809555,10272600
2020-05-29,162.710007,164.089996,162.350006,163.589996,161.957993,14662100
2020-06-01,162.100006,162.440002,161.669998,162.279999,160.867569,13341400
2020-06-02,161.669998,162.089996,161.250000,161.690002,160.282700,11517100
2020-06-03,160.179993,160.330002,158.940002,159.539993,158.151428,12255700
2020-06-04,158.919998,159.009995,157.190002,157.229996,155.861526,14038600
2020-06-05,154.610001,156.160004,153.160004,156.110001,154.751297,17778500
2020-06-08,155.070007,156.850006,155.050003,156.710007,155.346085,10346700
2020-06-09,159.050003,159.639999,158.300003,158.490005,157.110565,9095300
2020-06-10,159.240005,160.899994,159.050003,160.839996,159.440125,13135500
2020-06-11,163.250000,164.229996,162.630005,163.880005,162.453674,17086400
2020-06-12,162.410004,163.660004,162.050003,162.300003,160.887436,9716100
2020-06-15,163.889999,164.220001,162.139999,162.389999,160.976608,7759800
2020-06-16,159.410004,161.229996,158.699997,159.899994,158.508301,13698900
2020-06-17,160.270004,160.770004,159.339996,160.559998,159.162537,7113900
2020-06-18,162.039993,162.479996,161.610001,162.259995,160.847733,7691400
2020-06-19,161.000000,162.500000,160.910004,162.389999,160.976608,8565500
2020-06-22,163.190002,163.419998,162.070007,162.410004,160.996460,9319700
2020-06-23,161.479996,162.059998,161.119995,161.300003,159.896118,9088600
2020-06-24,161.529999,163.089996,161.520004,163.029999,161.611053,11436500
2020-06-25,164.210007,164.350006,163.399994,163.500000,162.076981,10968000
2020-06-26,164.250000,165.320007,164.179993,165.250000,163.811722,12119300
2020-06-29,164.850006,165.270004,164.380005,164.729996,163.296249,7274400
2020-06-30,165.229996,165.289993,163.479996,163.929993,162.503220,14841700
2020-07-01,162.809998,163.559998,162.149994,163.419998,162.187592,13181000
2020-07-02,162.699997,163.740005,162.240005,163.589996,162.356323,7599800
2020-07-06,162.330002,163.020004,161.750000,162.919998,161.691391,7972700
2020-07-07,163.419998,165.339996,163.199997,165.210007,163.964142,12791900
2020-07-08,164.320007,164.919998,163.830002,164.550003,163.309067,7253900
2020-07-09,164.660004,167.449997,164.600006,167.169998,165.909332,13373100
2020-07-10,167.949997,168.210007,166.160004,166.330002,165.075668,8478000
2020-07-13,165.500000,166.960007,165.229996,166.880005,165.621536,8054000
2020-07-14,167.929993,168.139999,166.979996,167.119995,165.859726,11344600
2020-07-15,165.919998,166.949997,165.830002,166.339996,165.085617,7840300
2020-07-16,167.399994,167.770004,167.039993,167.130005,165.869659,9107400
2020-07-17,167.270004,167.399994,166.470001,166.779999,165.522278,8549900
2020-07-20,167.509995,167.619995,166.800003,167.190002,165.929184,6907200
2020-07-21,167.300003,167.720001,167.080002,167.289993,166.028427,8455100
2020-07-22,168.259995,168.460007,167.690002,167.789993,166.524643,6592100
2020-07-23,168.919998,169.880005,168.479996,169.750000,168.469864,10471800
2020-07-24,169.009995,169.919998,168.869995,169.740005,168.459961,7520700
2020-07-27,170.250000,170.300003,168.990005,169.110001,167.834717,6146400
2020-07-28,169.539993,170.339996,169.429993,170.279999,168.995865,8520700
2020-07-29,170.050003,170.389999,168.979996,169.990005,168.708069,6733700
2020-07-30,171.050003,171.259995,170.750000,171.110001,169.819611,9376100
2020-07-31,170.149994,171.460007,169.940002,171.000000,169.710449,8886000
2020-08-03,169.240005,169.990005,168.970001,169.949997,168.855988,9066200
2020-08-04,170.830002,171.580002,170.720001,171.570007,170.465576,9878900
2020-08-05,170.059998,170.559998,169.690002,170.070007,168.975235,6954100
2020-08-06,171.380005,172.250000,170.619995,171.020004,169.919098,9481800
2020-08-07,171.279999,171.500000,169.580002,169.880005,168.786453,8176900
2020-08-10,170.220001,170.250000,169.070007,169.119995,168.031326,6408500
2020-08-11,167.169998,167.490005,165.880005,167.110001,166.034271,19234200
2020-08-12,165.699997,166.070007,164.990005,165.589996,164.524033,11745800
2020-08-13,165.309998,165.580002,163.169998,163.820007,162.765457,12744700
2020-08-14,163.809998,164.149994,163.160004,163.179993,162.129547,6398100
2020-08-17,163.970001,164.460007,163.429993,163.589996,162.536926,6901500
2020-08-18,164.360001,164.869995,164.089996,164.759995,163.699417,8140600
