Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,80.269997,82.050003,79.389999,82.050003,82.050003,68000
2020-03-03,82.309998,83.730003,79.150002,80.379997,80.379997,48200
2020-03-04,81.660004,83.080002,81.180000,83.070000,83.070000,38000
2020-03-05,81.480003,81.980003,79.809998,80.870003,80.870003,26600
2020-03-06,78.980003,80.220001,78.389999,80.220001,80.220001,33400
2020-03-09,74.540001,77.139999,74.000000,75.589996,75.589996,67000
2020-03-10,77.580002,77.959999,74.820000,77.959999,77.959999,66300
2020-03-11,76.040001,76.099998,73.419998,74.489998,74.489998,25500
2020-03-12,69.839996,72.239998,64.889999,68.320000,68.320000,81200
2020-03-13,71.510002,71.570000,66.199997,70.730003,70.730003,88200
2020-03-16,64.000000,66.120003,62.169998,64.680000,64.680000,171400
2020-03-17,63.529999,65.660004,60.869999,65.400002,65.400002,125200
2020-03-18,61.500000,64.110001,59.369999,61.419998,61.419998,76900
2020-03-19,61.500000,64.190002,60.549999,63.000000,63.000000,48800
2020-03-20,63.720001,64.629997,60.290001,60.619999,60.619999,59600
2020-03-23,60.290001,60.730000,58.230000,59.349998,59.349998,51900
2020-03-24,61.790001,64.949997,61.790001,64.900002,64.900002,381800
2020-03-25,65.220001,68.449997,64.489998,66.629997,66.629997,86200
2020-03-26,66.690002,70.860001,66.690002,70.699997,70.699997,99600
2020-03-27,68.970001,70.379997,67.959999,68.959999,68.959999,61800
2020-03-30,69.550003,72.290001,69.169998,72.239998,72.239998,33800
2020-03-31,72.260002,72.849998,71.000000,71.669998,71.669998,58300
2020-04-01,69.480003,70.029999,67.599998,67.849998,67.849998,37200
2020-04-02,67.650002,69.800003,67.620003,69.739998,69.739998,24500
2020-04-03,69.639999,70.349998,67.769997,68.250000,68.250000,40100
2020-04-06,70.529999,72.790001,70.529999,72.400002,72.400002,27300
2020-04-07,74.379997,74.779999,71.660004,71.930000,71.930000,45400
2020-04-08,72.650002,75.000000,72.000000,74.680000,74.680000,19100
2020-04-09,75.650002,77.330002,75.080002,77.019997,77.019997,52100
2020-04-13,76.760002,76.760002,74.449997,75.860001,75.860001,36000
2020-04-14,76.989998,78.269997,76.980003,78.000000,78.000000,57600
2020-04-15,76.599998,76.980003,75.830002,76.680000,76.680000,13500
2020-04-16,76.610001,77.589996,76.360001,77.430000,77.430000,38500
2020-04-17,79.449997,80.419998,78.720001,80.300003,80.300003,28500
2020-04-20,80.059998,81.010002,79.440002,80.059998,80.059998,27500
2020-04-21,79.000000,79.739998,77.360001,78.169998,78.169998,20100
2020-04-22,79.610001,79.830002,78.370003,79.440002,79.440002,50100
2020-04-23,80.320000,81.620003,80.320000,80.849998,80.849998,24500
2020-04-24,81.120003,82.269997,80.910004,81.910004,81.910004,39200
2020-04-27,82.540001,84.110001,82.540001,83.639999,83.639999,56200
2020-04-28,84.879997,84.879997,81.849998,82.019997,82.019997,30400
2020-04-29,84.000000,85.410004,82.930000,84.760002,84.760002,38200
2020-04-30,84.080002,85.099998,83.470001,83.470001,83.470001,20200
2020-05-01,82.050003,82.050003,80.720001,81.580002,81.580002,24700
2020-05-04,81.220001,81.690002,80.750000,81.440002,81.440002,17100
2020-05-05,82.220001,84.309998,82.220001,83.279999,83.279999,23400
2020-05-06,83.500000,84.239998,83.000000,83.190002,83.190002,97200
2020-05-07,84.580002,85.320000,84.010002,85.180000,85.180000,41300
2020-05-08,86.000000,86.879997,85.010002,85.989998,85.989998,25100
2020-05-11,85.980003,88.900002,85.980003,88.389999,88.389999,46100
2020-05-12,88.419998,88.419998,85.540001,85.540001,85.540001,38400
2020-05-13,85.519997,85.519997,82.059998,83.120003,83.120003,48700
2020-05-14,82.160004,83.540001,81.320000,83.519997,83.519997,57200
2020-05-15,82.949997,84.739998,82.949997,84.580002,84.580002,34600
2020-05-18,86.519997,87.839996,86.449997,86.449997,86.449997,26800
2020-05-19,86.430000,86.550003,85.199997,85.199997,85.199997,32400
2020-05-20,86.000000,87.000000,85.680000,86.110001,86.110001,21200
2020-05-21,85.849998,86.029999,84.699997,85.400002,85.400002,20700
2020-05-22,85.790001,86.360001,85.190002,86.360001,86.360001,83900
2020-05-26,87.820000,88.290001,85.839996,85.989998,85.989998,102100
2020-05-27,86.519997,86.589996,83.839996,86.589996,86.589996,114500
2020-05-28,86.839996,89.000000,86.839996,87.440002,87.440002,40300
2020-05-29,87.290001,88.029999,86.000000,88.029999,88.029999,17300
2020-06-01,88.019997,88.870003,87.760002,88.220001,88.220001,49700
2020-06-02,88.519997,88.519997,87.010002,87.870003,87.870003,29300
2020-06-03,88.199997,88.940002,88.139999,88.300003,88.300003,25900
2020-06-04,88.059998,88.070000,86.379997,86.839996,86.839996,26000
2020-06-05,88.150002,90.050003,87.339996,89.610001,89.610001,27400
2020-06-08,89.669998,90.040001,89.129997,89.849998,89.849998,29100
2020-06-09,89.570000,89.650002,87.970001,88.080002,88.080002,19800
2020-06-10,88.309998,88.400002,87.089996,87.750000,87.750000,44200
2020-06-11,85.709999,85.709999,82.199997,82.199997,82.199997,42100
